Prenoèitvene zmogljivosti po: VRSTE NASTANITVENIH OBJEKTOV, MESEC ,;;;;
MERITVE;;;;
;;;;
 ;2015M01; ; ; 
 ;Prihodi turistov - domaèi;Prihodi turistov - tuji;Prenoèitve turistov - domaèi;Prenoèitve turistov - tuji
Hoteli;43149;92626;134225;256403
Moteli;40;174;88;260
Penzioni;1388;2690;3183;5923
Gostišèa;929;2087;2307;4504
Prenoèišèa;386;1620;1022;4141
Apartmajska in poèitniška naselja;5293;4916;18445;19623
Kampi;4089;1024;15332;3776
Turistiène kmetije z nastanitvijo;665;1321;1370;2995
Mladinski hoteli;1117;3920;2431;8008
Zasebne sobe, apartmaji, hiše;3233;4919;9577;15592
Planinski domovi in koèe;1981;154;5166;345
Delavski poèit. domovi in apartmaji, otroški in mladinski poèitniški domovi;8271;790;26306;3647
Drugi nastanitveni objekti;98;53;318;139
Zaèasne nastanitvene zmogljivosti in marine;520;216;895;730
